price,suburb,region,house_type,bedrooms,bathrooms,floor_area,land_size,furnished,has_pool,has_solar,has_borehole,has_garage,has_garden,has_security,has_inverter,has_generator,amenities_count,missing_suburb,missing_region,location_issue,price_per_sqm_floor,price_per_hectare,price_per_bed,price_per_bath,size_ratio,value_density,amenity_score,energy_score,maintenance_burden,modern_amenities,bed_quality,bath_ratio,land_efficiency,segment,data_quality_score,log_price,house_category,segment_encoded,region_price_enc,suburb_price_enc,house_category_encoded,is_House,is_Townhouse,total_amenities,room_density,floor_to_land_ratio,bed_bath_ratio,listings_per_region,listings_per_suburb,renewable_energy_index,luxury_indicator,premium_indicator
1800000.0,Helensvale,Harare North,4 Bedroom House,4.0,4.0,3600.0,14000.0,0,0,0,1,1,1,0,0,0,3,0,0,0,500.0,1285714.2857142857,450000.0,450000.0,0.2571428571428571,128.57142857142858,2,1,1,0,0.0011111111111111,1.0,0.2571428571428571,Luxury,7,14.403297778421797,House,3,470000.0,650000.0,0,True,False,3,0.0011111111111111111,0.2571428571428571,1.0,659,30,0.25,1,1
90000.0,Aspindale Park,Harare West,4 Bedroom House,4.0,2.0,180.0,200.0,0,0,1,0,0,1,0,0,0,2,0,0,0,500.0,4500000.0,22500.0,45000.0,0.9,450.0,1,1,1,1,0.0222222222222222,0.5,0.9,Budget,7,11.407576060361786,House,0,200000.0,90000.0,0,True,False,2,0.022222222222222223,0.9,2.0,374,8,0.25,0,0
850000.0,Colne Valley,Harare North,5 Bedroom House,5.0,5.0,800.0,4000.0,1,1,1,1,0,1,0,1,1,6,0,0,0,1062.5,2125000.0,170000.0,170000.0,0.2,212.5,2,4,3,3,0.00625,1.0,0.2,Luxury,7,13.652992804936396,House,3,470000.0,655000.0,0,True,False,6,0.00625,0.2,1.0,659,10,1.0,1,1
280000.0,Athlone,Harare East,4 Bedroom House,4.0,4.0,208.0,2000.0,0,0,0,0,1,1,1,0,0,3,0,0,0,1346.1538461538462,1400000.0,70000.0,70000.0,0.104,140.0,3,0,1,0,0.0192307692307692,1.0,0.104,Premium,7,12.54254845357358,House,2,250000.0,280000.0,0,True,False,3,0.019230769230769232,0.104,1.0,177,3,0.0,0,1
530000.0,Burnside,Bulawayo East,3 Bedroom House,3.0,2.0,250.0,5338.0,0,1,1,1,1,1,0,0,0,5,0,0,0,2120.0,992881.2289246907,176666.66666666666,265000.0,0.0468340202322967,99.28812289246908,3,2,2,1,,0.6666666666666666,,Luxury,7,13.180634172318978,House,3,220000.0,260000.0,0,True,False,5,0.012,0.04683402023229674,1.5,79,25,0.5,1,1
200000.0,Westgate,Harare West,2 Bedroom House,2.0,1.0,190.0,600.0,0,0,0,0,1,1,1,0,0,3,0,0,0,1052.6315789473683,3333333.333333333,100000.0,200000.0,0.3166666666666666,333.3333333333333,3,0,1,0,0.0105263157894736,0.5,0.3166666666666666,Mid,7,12.206077645517674,House,1,200000.0,150000.0,0,True,False,3,0.010526315789473684,0.31666666666666665,2.0,374,12,0.0,0,0
340000.0,Burnside,Bulawayo East,4 Bedroom House,4.0,2.0,300.0,16187.0,0,1,1,1,1,1,1,0,0,6,0,0,0,1133.3333333333333,210045.0979180824,85000.0,170000.0,0.0185333909927719,21.004509791808243,4,2,2,1,4.0,0.5,6.177796997590659e-05,Premium,7,12.73670383776449,House,2,220000.0,260000.0,0,True,False,6,0.013333333333333334,0.018533390992771976,2.0,79,25,0.5,0,1
150000.0,New Marlborough,Harare West,4 Bedroom House,4.0,2.0,220.0,504.0,0,0,1,0,0,1,0,0,0,2,0,0,0,681.8181818181819,2976190.476190476,37500.0,75000.0,0.4365079365079365,297.6190476190476,1,1,1,1,0.0181818181818181,0.5,0.4365079365079365,Mid,7,11.918397239722838,House,1,200000.0,177500.0,0,True,False,2,0.01818181818181818,0.4365079365079365,2.0,374,14,0.25,0,0
350000.0,Strathaven,Harare West,4 Bedroom House,4.0,2.0,800.0,1080.0,0,0,1,1,0,1,0,0,0,3,0,0,0,437.5,3240740.7407407407,87500.0,175000.0,0.7407407407407407,324.0740740740741,1,2,1,1,0.005,0.5,0.7407407407407407,Premium,7,12.765691290604371,House,2,200000.0,320000.0,0,True,False,3,0.005,0.7407407407407407,2.0,374,7,0.5,0,1
1800000.0,Borrowdale,Harare North,4 Bedroom House,4.0,3.0,300.0,8967.0,0,1,0,1,1,1,0,0,0,4,0,0,0,6000.0,2007360.3211776512,450000.0,600000.0,0.0334560053529608,200.73603211776515,3,1,2,0,,0.75,,Luxury,7,14.403297778421797,House,3,470000.0,700000.0,0,True,False,4,0.013333333333333334,0.03345600535296086,1.3333333333333333,659,63,0.25,1,1
